linea_id;ID_Actividad;Linea_Estrategica;Tipo_Linea
297;46894CDB12F37A84;Control Urbano, Lucha Contra El Crimen, Ciudadanías Seguras;Seguridad
298;0C20E7547D271734;Distritos Seguros, Control Urbano, Transporte Seguro, Lucha Contra El Crimen, Ciudadanías Seguras;Seguridad
299;08AF6D6731DFAD8C;N/A;Seguridad
300;8FA27EE602B0691B;Control Urbano, Lucha Contra El Crimen, Ciudadanías Seguras;Seguridad
301;4247ECCBA5ABF5A4;N/A;Seguridad
302;02087D7C4A0E0C17;Distritos Seguros, Control Urbano, Cooperación Ciudadana, Ciudadanías Seguras;Seguridad
303;39D5224A8787603A;N/A;Seguridad
304;A08E6F702C781C0E;N/A;Seguridad
305;CC69B2D35BB77B1C;Control Urbano, Transporte Seguro, Ciudadanías Seguras;Seguridad
306;66B08729615DC0E2;N/A;Seguridad
307;1E0193243BDEBF7D;Control Urbano, Transporte Seguro, Lucha Contra El Crimen, Ciudadanías Seguras;Seguridad
308;81075F520B5E5F98;N/A;Seguridad
309;D59C2509ABED4E90;Seguridad Inteligente;Seguridad
310;01BBA43B0C8F93E5;N/A;Seguridad
311;17FFC1B4A93DD42B;N/A;Seguridad
312;F1036E7BE53FC2BD;N/A;Seguridad
313;85216A12C55D8700;N/A;Seguridad
314;2C31F0F6812498E7;N/A;Seguridad
315;FE131BEE67A10CF3;Distritos Seguros, Ciudadanías Seguras;Seguridad
316;CE4ECC939EAFC7D3;Distritos Seguros, Transporte Seguro;Seguridad
317;6B0C1D8811925ED8;Distritos Seguros;Seguridad
318;0DEDB4F409DB5B8A;Distritos Seguros;Seguridad
319;42078E517334119E;Distritos Seguros;Seguridad
320;0ADA8374BAD125F7;Distritos Seguros;Seguridad
321;9BB80E45AA0AE45D;Control Urbano, Seguridad Inteligente, Datos Para La Seguridad, Cooperación Ciudadana, Ciudadanías Seguras;Seguridad
322;21C0C1C3F95C5D1D;Distritos Seguros;Seguridad
323;A0FABBAA21E27F5D;Distritos Seguros, Seguridad Inteligente, Datos Para La Seguridad, Cooperación Ciudadana, Ciudadanías Seguras, Bienestar Y Reconocimiento;Seguridad
324;8382811172688888;Distritos Seguros, Seguridad Inteligente, Datos Para La Seguridad, Cooperación Ciudadana, Protección Del Capital Natural, Seguridad Regional, Lucha Contra El Crimen, Lucha Contra El Cibercrimen, Ciudadanías Seguras, Bienestar Y Reconocimiento;Seguridad
325;3466767DE5372C8B;Distritos Seguros, Control Urbano, Seguridad Inteligente, Datos Para La Seguridad, Cooperación Ciudadana, Transporte Seguro, Gestión De La Seguridad En Aglomeraciones, Lucha Contra El Crimen, Ciudadanías Seguras, Bienestar Y Reconocimiento, Urbanismo Para La Seguridad;Seguridad
326;61AD01605CB56C6E;Distritos Seguros, Control Urbano, Seguridad Inteligente, Datos Para La Seguridad, Cooperación Ciudadana, Transporte Seguro, Gestión De La Seguridad En Aglomeraciones, Ciudadanías Seguras, Bienestar Y Reconocimiento;Seguridad
327;85714E9D297C4475;Distritos Seguros, Control Urbano, Seguridad Inteligente, Datos Para La Seguridad, Cooperación Ciudadana, Protección De Infraestructura, Transporte Seguro, Protección Del Capital Natural, Gestión De La Seguridad En Aglomeraciones, Seguridad Regional, Lucha Contra El Crimen, Lucha Contra El Cibercrimen, Ciudadanías Seguras, Bienestar Y Reconocimiento, Urbanismo Para La Seguridad;Seguridad
328;CBDE39D6D2FB6340;Distritos Seguros, Control Urbano, Lucha Contra El Crimen, Ciudadanías Seguras, Bienestar Y Reconocimiento;Seguridad
329;C4C8776D0A0D9108;Distritos Seguros, Control Urbano, Lucha Contra El Crimen, Ciudadanías Seguras, Bienestar Y Reconocimiento;Seguridad
330;0C936FA4F0CF9EA8;N/A;Seguridad
331;5C46D2DAD04D3016;Distritos Seguros, Ciudadanías Seguras, Bienestar Y Reconocimiento;Seguridad
332;010E68AE5809B2C3;N/A;Seguridad
333;C78339EE3E78668C;Distritos Seguros;Seguridad
334;4954FBB0C3667322;Lucha Contra El Crimen, Ciudadanías Seguras;Seguridad
335;15A5766A8F9E475E;N/A;Seguridad
336;020A7C3924F4DD80;Cooperación Ciudadana;Seguridad
337;666AC9F33081B9F8;Cooperación Ciudadana;Seguridad
338;DA8BF266B7ADC0ED;Cooperación Ciudadana;Seguridad
339;47C55D60DEC2B9B6;Cooperación Ciudadana;Seguridad
340;8EC9C80AB14FA4ED;Cooperación Ciudadana;Seguridad
341;0C95C374761F2617;Cooperación Ciudadana;Seguridad
342;20031271BAF8059D;Ciudadanías Seguras, Urbanismo Para La Seguridad;Seguridad
343;2E30C23A41E68DC2;N/A;Seguridad
344;9A780CA3D8C334AC;N/A;Seguridad
345;21160028A35CF1AC;Seguridad Inteligente;Seguridad
346;C6C3B916D10B5171;Seguridad Inteligente;Seguridad
347;67D38521335E5DC4;Control Urbano, Seguridad Inteligente, Seguridad Regional, Lucha Contra El Crimen, Lucha Contra El Cibercrimen, Urbanismo Para La Seguridad;Seguridad
348;1E90CD1BF33BCB90;N/A;Seguridad
349;605986DF92C17D2D;Distritos Seguros;Seguridad
350;10B8F65EF5185C60;N/A;Seguridad
351;CE0C0177129EAE2D;Seguridad Inteligente, Seguridad Regional, Lucha Contra El Crimen;Seguridad
352;9AFDFD7C742525C4;N/A;Seguridad
353;E61DFF02675D1F5B;N/A;Seguridad
354;530B114FAB3CC903;N/A;Seguridad
355;1E753BF9C7D7D0AE;Seguridad Inteligente, Cooperación Ciudadana, Seguridad Regional, Urbanismo Para La Seguridad;Seguridad
356;66078F91BD2FB0A2;Distritos Seguros, Control Urbano, Seguridad Inteligente, Transporte Seguro;Seguridad
357;F04C9B55E615F232;Control Urbano;Seguridad
358;9440150B1BFA1AB8;Datos Para La Seguridad, Bienestar Y Reconocimiento;Seguridad
359;5C63626C82FDAA3F;Control Urbano;Seguridad
360;537651F47446EB69;N/A;Seguridad
361;5A60143E7A94D761;Ciudadanías Seguras;Seguridad
362;03EF7B6D0A9EE130;N/A;Seguridad
363;D5A863739F342CE8;Control Urbano;Seguridad
364;D8538D95D20C5095;Ciudadanías Seguras;Seguridad
365;9981806D446495E4;N/A;Seguridad
366;E2BDD3B8498DFA84;Ciudadanías Seguras;Seguridad
367;1B75B1DE33044110;Datos Para La Seguridad;Seguridad
